"SHARKNAME","SHARKSEX_TRACKNUMBER","DATE","TIME","BOAT","LATITUDE","LONGITUDE","HABITAT_TYPE","OWNER","DATATYPE","DAY","MONTH","YEAR","SPECIES_COMMON","SPECIES_SCIENTIFIC"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 10:30:00,NA,-34.63626667,19.42525,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 10:40:00,NA,-34.63605,19.42408333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 10:45:00,NA,-34.63576667,19.42485,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 10:50:00,NA,-34.636,19.42375,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 10:55:00,NA,-34.63718333,19.42456667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 10:58:00,"x",-34.63775,19.42516667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:00:00,"x",-34.63781667,19.42563333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:06:00,"x",-34.63781333,19.4256325,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:10:00,"x",-34.63776667,19.42545,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:15:00,"x",-34.63693333,19.42541667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:20:00,"x",-34.63686667,19.42563333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:40:00,"x",-34.63715,19.42545,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:45:00,"x",-34.63631667,19.42503333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:50:00,"x",-34.63543333,19.42443333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 11:55:00,"x",-34.63691667,19.42528333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:00:00,"x",-34.63723333,19.42451667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:04:00,"x",-34.63651667,19.4253,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:10:00,"x",-34.63621667,19.42561667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:15:00,"x",-34.63628333,19.42576667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:20:00,"x",-34.63658333,19.42501667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:25:00,"x",-34.6365,19.42528333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:30:00,"x",-34.6365,19.42443333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:35:00,"x",-34.63665,19.42581667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:40:00,"x",-34.63666667,19.42523333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:45:00,"x",-34.63686667,19.42436667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:50:00,"x",-34.63628333,19.42568333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 12:55:00,"x",-34.63646667,19.4252,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:00:00,"x",-34.63595,19.42423333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:05:00,"x",-34.63648333,19.4253,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:10:00,"x",-34.63655,19.42563333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:15:00,"x",-34.63641667,19.42456667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:20:00,"x",-34.63628333,19.42551667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:25:00,"x",-34.63655,19.42465,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:30:00,"x",-34.63631667,19.42471667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:35:00,"x",-34.63696667,19.42446667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:40:00,"x",-34.63705,19.42533333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:45:00,"x",-34.63698333,19.42486667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:50:00,"x",-34.63715,19.42388333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 13:55:00,"x",-34.63695,19.42545,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:00:00,"x",-34.63691667,19.4257,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:05:00,"x",-34.63706667,19.4253,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:10:00,"x",-34.63698333,19.42453333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:15:00,"x",-34.63643333,19.4244667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:20:00,"x",-34.63606667,19.42505,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:25:00,"x",-34.63606667,19.4239,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:35:00,"x",-34.63628333,19.42473333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:40:00,"x",-34.63628333,19.42465,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:45:00,"x",-34.63606667,19.42368333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 14:50:00,"x",-34.63571667,19.4245,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:00:00,"x",-34.63586667,19.42445,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:05:00,NA,-34.63598333,19.42468333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:10:00,NA,-34.63656667,19.42418333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:15:00,NA,-34.63651667,19.42495,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:20:00,NA,-34.63613333,19.42386667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:25:00,NA,-34.6362,19.42478333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:30:00,NA,-34.63593333,19.42356667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:35:00,NA,-34.63563333,19.42285,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:40:00,NA,-34.63513333,19.42338333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:45:00,NA,-34.63553333,19.42381667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:50:00,NA,-34.6361,19.42303333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 15:55:00,NA,-34.63655,19.42233333,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 16:00:00,NA,-34.63623333,19.4219,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 16:05:00,NA,-34.63646667,19.42205,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
"SARIKA","WSF1 T1",2010-09-03,1899-12-31 16:10:00,NA,-34.63703333,19.42306667,"INS PR","TOWNER","ACOUSTICTAG","03","09","2010","WHITE SHARK","CARCHARODON CARCHARIAS"
