"DATE","LOCATION","ZONE...3","ZONE...4","TIME IN","TIME OUT","TOTAL SURVEY TIME","SPOT TIME","LATITUDE","LONGITUDE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","OTHER SPECIES OF NOTE","SEX","TAGGED","NOTES","PICTURE","VIDEO","ADDITIONALNOTES","SHARKLIFE","DATA ENTRY BY:","CREW MEMBERS","DAY","MONTH","YEAR","OWNER","SITENUMBER","MAXN","WAYPOINT","CURRENT (KM/H)","CURRENT DIRECTION","DEPTH","SST","BST","SWELL (M)","VISABILITY (M)","SUBSTRATE TYPE","DEPLOYMENT TIME","RETRIEVAL TIME","SOAK TIME","VIDEO FOLDER REFERENCE","BOAT WAYPOINT","BOTTOM TEMP","REEF NAME","VIDEO REFERENCE","...15","CLOUD COVER (%)"
"15.10.2020","QUARTER MILE","SDRZ","Shallow","0.3125","0.36805555555555558",80,"0.33263888888888887",27.53462,32.68326,"BRUV","RAGGED TOOTH SHARK","CARCHARIAS TAURUS","Potato bass","F",NA,"inspecting bait","Raggedtooth Shark_GP041142_9.37",NA,NA,"0","Sam","Grant, Dennis, Max,Sam,Jess",15,10,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01.11.2020","HOTSPOT","SDRZ","Deep","0.33819444444444446","0.3979166666666667",86,"0.3354166666666667",27.50952,32.69554,"BRUV","COMMON BLACKTIP","CARCHARHINUS LIMBATUS",NA,"U","U","inspecting bait","CommonBlackTip_GOPR0001_05.59",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",1,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01.11.2020","HOTSPOT","SDRZ","Deep","0.33819444444444446","0.3979166666666667",86,"0.34027777777777773",27.50952,32.69554,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,"U","U","inspecting bait","BullShark_GOPR0001_13.01",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",1,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01.11.2020","HOTSPOT","SDRZ","Deep","0.33819444444444446","0.3979166666666667",86,"0.38680555555555557",27.50952,32.69554,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,"U","U","inspecting bait","BullShark_GP040001_09.08",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",1,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01.11.2020","HOTSPOT","SDRZ","Deep","0.33819444444444446","0.3979166666666667",86,"0.34930555555555554",27.50952,32.69554,"BRUV","SILVERTIP SHARK","CARCHARHINUS ALBIMARGINATUS",NA,"U","U","inspecting bait","Silvertip_GP010001_07.15",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",1,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01.11.2020","HOTSPOT","SDRZ","Deep","0.35069444444444442","0.41180555555555554",88,"0.36944444444444446",27.51091,32.69649,"BRUV","SILVERTIP SHARK","CARCHARHINUS ALBIMARGINATUS",NA,"U","U","inspecting bait","Silvertip_GPO17580_10.24",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",1,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01.11.2020","HOTSPOT","SDRZ","Deep","0.35069444444444442","0.41180555555555554",88,"0.37222222222222223",27.51091,32.69649,"BRUV","TIGER SHARK","GALEOCERDO CUVIER",NA,"M","U","inspecting bait","TigerShark_GPO27580_08.57",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",1,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03.11.2020","RIBBON","SDRZ","Shallow","0.32361111111111113","0.38055555555555554",72,"0.35347222222222219",27.49251,32.688663,"BRUV","RITICULATE WHIP[RAY","HIMANTURA UARNAK",NA,"U","U","inspecting bait","Reticulate_whipray_GP020001_9.47",NA,NA,NA,"Jess","Grant, Dennis, Max,Jess",3,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05.11.2020","WHITETIP CAVE","SDRZ","Mid","0.36874999999999997","0.41805555555555557",71,NA,27.519018,32.692684,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,"inspecting bait","Bullshark_GH011339_02.06",NA,NA,NA,"Jess",NA,5,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08.11.2020","THREE MILE","SDRZ","Deep","0.3527777777777778","0.39513888888888887",61,NA,27.506269,32.696442,"BRUV","SILVERTIP SHARK","CARCHARHINUS ALBIMARGINATUS",NA,NA,NA,"inspecting bait","SilverTip_GP010001_00.20",NA,NA,NA,"Jess",NA,8,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
