"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"01/11/2020_SHARKLIFE_ST LUCIA_1","Elasmobranchii","Aetobatidae","Aetobatus","ocellatus","Aetobatus ocellatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-01,"St Lucia","Not recorded",-27.50952,32.69554,NA,NA,"BRUVS","SharkLife","01","11","2020"
"17-04_NSC-N_002","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-04-05,"Bluff","Exploited",-29.92733,31.02207,NA,NA,"BRUVS","NRF-SAIAB MARIP","05","04","2017"
"17-04_NSC-N_076","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-04-23,"Hibberdene","Exploited",-30.49607,30.68385,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","04","2017"
"17-04_NSC-S_010","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-05,"Port Edward","Not recorded",-31.33218,29.97175,NA,NA,"BRUVS","NRF-SAIAB MARIP","05","04","2017"
"17-04_NSC-S_043","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-11,"Protea Bank","Exploited",-30.82489,30.4955,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2017"
"17-04_NSC-S_051","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-11,"Protea Bank","Exploited",-30.82894,30.48764,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2017"
"17-06_ISI-MANZ_020","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-15,"Rabbit Rock","IWP_Maputaland Sanctuary Zone",-27.0528333333333,32.87515,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","06","2017"
"20-10_RICHARDS BAY_023","Elasmobranchii","Carcharhinidae",NA,"sp.","Carcharhinidae sp.",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","20-10_SCF",2020-10-27,"Richards Bay","Exploited",-28.915182,32.053921,NA,NA,"BRUVS","NRF-SAIAB MARIP","27","10","2020"
"14-01_PONDO_030","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Pondoland","NRF-SAIAB MARIP","Anthony Bernard","14-01_Pondo",2014-01-24,"Port Edward","Exploited",-31.13856,30.2177,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","01","2014"
"01/11/2020_SHARKLIFE_ST LUCIA_2","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-02,"St Lucia","Not recorded",-27.50952,32.69554,NA,NA,"BRUVS","SharkLife","02","11","2020"
"14-03_AB_02","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98924,25.87508,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"08/11/2020_SHARKLIFE_ST LUCIA_13","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-08,"St Lucia","Not recorded",-27.506269,32.696442,NA,NA,"BRUVS","SharkLife","08","11","2020"
"08/11/2020_SHARKLIFE_ST LUCIA_14","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-08,"St Lucia","Not recorded",-27.50897,32.692028,NA,NA,"BRUVS","SharkLife","08","11","2020"
"12/11/2020_SHARKLIFE_ST LUCIA_18","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-12,"St Lucia","Not recorded",-27.51368,32.688828,NA,NA,"BRUVS","SharkLife","12","11","2020"
"15/10/2020_SHARKLIFE_ST LUCIA_22","Elasmobranchii","Rhinidae",NA,"sp.","Rhinidae sp.",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-15,"St Lucia","Not recorded",-27.53462,32.68326,NA,NA,"BRUVS","SharkLife","15","11","2020"
"16/11/2020_SHARKLIFE_ST LUCIA_25","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"St Lucia","SharkLife","Grant Smith","St Lucia",2020-11-16,"St Lucia","Not recorded",-27.514023,32.685593,NA,NA,"BRUVS","SharkLife","16","11","2020"
"16-11_ISI_042","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","16-11_ISI",2016-11-08,"9 Mile","IWP_St Lucia Restricted Zone",-27.4128,32.7345166666667,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","11","2016"
"17-04_NSC-N_039","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-11-04,"Aliwal Shoal","Aliwal Shaol MPA_controlled zone",-30.28973,30.78849,NA,NA,"BRUVS","NRF-SAIAB MARIP","04","11","2017"
"17-04_NSC-N_047","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-N",2017-11-04,"Aliwal Shoal","Aliwal Shaol MPA_controlled zone",-30.26917,30.81838,NA,NA,"BRUVS","NRF-SAIAB MARIP","04","11","2017"
"14-03_AB_06","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98982,25.88865,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"17-06_ISI-MANZ_050","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-20,"Bhanga","IWP_Maputaland Restricted Zone",-26.99611,32.9069,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","06","2017"
"17-06_ISI-MANZ_054","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","17-06_ISI",2017-06-20,"Rabbit Rock","IWP_Maputaland Sanctuary Zone",-27.02744,32.884,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","06","2017"
"18-06_ISI_001","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","18-06_Isi",2018-06-03,"Diepgat Canyon","IWP_St Lucia Restricted Zone",-27.6208166666667,32.67255,NA,NA,"BRUVS","NRF-SAIAB MARIP","03","06","2018"
"18-06_ISI_018","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","18-06_Isi",2018-06-08,"Levens Canyon","IWP_St Lucia Sanctuary Zone",-27.9154082480818,32.6212082616984,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","06","2018"
"14-03_AB_12","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-33.98432,25.87521,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"20-11_OA_019","Elasmobranchii","Carcharhinidae","Carcharhinus","albimarginatus","Carcharhinus albimarginatus",1,"iSimangaliso_OA","NRF-SAIAB MARIP","Anthony Bernard","20-11_OA",2020-11-13,"Bhanga area","IWP_Maputaland Sanctuary Zone",-27.06696,32.90751,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","11","2020"
"19-06_TNP_053","Elasmobranchii","Rajidae","Dipturus","doutrei","Dipturus doutrei",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-03,"Middle bank","TNP MPA",-34.04078,23.86879,NA,NA,"BRUVS","NRF-SAIAB MARIP","03","06","2019"
"16-03_AMA_110","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",3,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9518318455666,28.0599629692733,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-03_AMA_112","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",4,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9491722676903,28.0525056738406,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-03_AMA_114","Elasmobranchii","Scyliorhinidae","Halaelurus","lineatus","Halaelurus lineatus",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9554027039557,28.0618772283196,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
