TRIP NUMBER,SET_ID,DATE,HOOKNR,STARTSETHR,STARTSETMIN,STARTHAULHR,STARTHAULMIN,LATITUDE_START,LONGITUDE_START,LATITUDE_END,LONGITUDE_END,DAY,MONTH,YEAR,NUMBER,WEIGHT,SPECIES_SCIENTIFIC,DATATYPE,OWNER
38,218,2015/01/08,1000,2,47,8,30,-34.4,18.25,-34.3,18.14,8,1,2015,20,400,ISURUS OXYRINCHUS,LPLL,DFFE
38,218,2015/01/08,1000,2,47,8,30,-34.4,18.25,-34.3,18.14,8,1,2015,234,1404,PRIONACE GLAUCA,LPLL,DFFE
38,218,2015/01/08,1000,2,47,8,30,-34.4,18.25,-34.3,18.14,8,1,2015,0,0,CARCHARHINUS BRACHYURUS,LPLL,DFFE
38,218,2015/01/08,1000,2,47,8,30,-34.4,18.25,-34.3,18.14,8,1,2015,0,0,CARCHARHINUS OBSCURUS,LPLL,DFFE
38,218,2015/01/08,1000,2,47,8,30,-34.4,18.25,-34.3,18.14,8,1,2015,0,0,CARCHARHINUS LEUCAS,LPLL,DFFE
38,218,2015/01/08,1000,2,47,8,30,-34.4,18.25,-34.3,18.14,8,1,2015,0,0,GALEOCERDO CUVIER,LPLL,DFFE
38,220,2015/01/10,1000,23,36,7,10,-34.59,18.47,-34.57,18.36,10,1,2015,50,2000,ISURUS OXYRINCHUS,LPLL,DFFE
38,220,2015/01/10,1000,23,36,7,10,-34.59,18.47,-34.57,18.36,10,1,2015,278,1668,PRIONACE GLAUCA,LPLL,DFFE
38,220,2015/01/10,1000,23,36,7,10,-34.59,18.47,-34.57,18.36,10,1,2015,0,0,CARCHARHINUS BRACHYURUS,LPLL,DFFE
38,220,2015/01/10,1000,23,36,7,10,-34.59,18.47,-34.57,18.36,10,1,2015,0,0,CARCHARHINUS OBSCURUS,LPLL,DFFE
38,220,2015/01/10,1000,23,36,7,10,-34.59,18.47,-34.57,18.36,10,1,2015,0,0,CARCHARHINUS LEUCAS,LPLL,DFFE
38,220,2015/01/10,1000,23,36,7,10,-34.59,18.47,-34.57,18.36,10,1,2015,0,0,GALEOCERDO CUVIER,LPLL,DFFE
38,221,2015/01/11,1000,23,39,7,30,-34.56,18.41,-34.48,18.31,11,1,2015,45,900,ISURUS OXYRINCHUS,LPLL,DFFE
38,221,2015/01/11,1000,23,39,7,30,-34.56,18.41,-34.48,18.31,11,1,2015,114,684,PRIONACE GLAUCA,LPLL,DFFE
38,221,2015/01/11,1000,23,39,7,30,-34.56,18.41,-34.48,18.31,11,1,2015,0,0,CARCHARHINUS BRACHYURUS,LPLL,DFFE
38,221,2015/01/11,1000,23,39,7,30,-34.56,18.41,-34.48,18.31,11,1,2015,0,0,CARCHARHINUS OBSCURUS,LPLL,DFFE
38,221,2015/01/11,1000,23,39,7,30,-34.56,18.41,-34.48,18.31,11,1,2015,0,0,CARCHARHINUS LEUCAS,LPLL,DFFE
38,221,2015/01/11,1000,23,39,7,30,-34.56,18.41,-34.48,18.31,11,1,2015,0,0,GALEOCERDO CUVIER,LPLL,DFFE
38,222,2015/01/12,1000,1,9,7,30,-34.45,18.2,-34.34,18.13,12,1,2015,20,400,ISURUS OXYRINCHUS,LPLL,DFFE
38,222,2015/01/12,1000,1,9,7,30,-34.45,18.2,-34.34,18.13,12,1,2015,283,1698,PRIONACE GLAUCA,LPLL,DFFE
38,222,2015/01/12,1000,1,9,7,30,-34.45,18.2,-34.34,18.13,12,1,2015,0,0,CARCHARHINUS BRACHYURUS,LPLL,DFFE
38,222,2015/01/12,1000,1,9,7,30,-34.45,18.2,-34.34,18.13,12,1,2015,0,0,CARCHARHINUS OBSCURUS,LPLL,DFFE
38,222,2015/01/12,1000,1,9,7,30,-34.45,18.2,-34.34,18.13,12,1,2015,0,0,CARCHARHINUS LEUCAS,LPLL,DFFE
38,222,2015/01/12,1000,1,9,7,30,-34.45,18.2,-34.34,18.13,12,1,2015,0,0,GALEOCERDO CUVIER,LPLL,DFFE
