"ARGOS_ID","SPECIES_COMMON","SPECIES_SCIENTIFIC","LENGTH_CM","SEX","MATURITY_STATUS(NEW)","TAG_TYPE","TAG_TYPE_2","REC_NOTREC","TAG_DATE","LATITUDE","LONGITUDE","DAYS@LIBERTY","FINAL_LAT","FINAL_LONG","CAPTURE (Y/N)","GEAR","DAY","MONTH","YEAR","OWNER","DATATYPE"
117464,"White shark","Carcharodon carcharias",350,"F","Sub_adult","SPOT",NA,NA,2012-03-10,-34.071103,22.211856,500,-34.45573899,21.19929962,"N",NA,"10","03","2012","OCEARCH","LINEFISHING"
117465,"White shark","Carcharodon carcharias",312,"M","Sub_adult","SPOT","11A0894","NotRec",2012-03-23,-34.122756,22.127633,714,-34.63305339,19.43700629,"N",NA,"23","03","2012","OCEARCH","LINEFISHING"
117466,"White shark","Carcharodon carcharias",309,"M","Sub_adult","SPOT","11A0893","Rec",2012-03-23,-34.122756,22.127633,532,-34.18929674,22.30444676,"N",NA,"23","03","2012","OCEARCH","LINEFISHING"
117467,"White shark","Carcharodon carcharias",360,"F","Sub_adult","SPOT","11A0897","NotRec",2012-04-12,-34.638367,19.427067,421,-34.15029012,22.13469801,"N",NA,"12","04","2012","OCEARCH","LINEFISHING"
117468,"White shark","Carcharodon carcharias",310,"F","Sub_adult","SPOT",NA,NA,2012-03-08,-34.071103,22.211856,348,-34.07156919,22.20166146,"N",NA,"08","03","2012","OCEARCH","LINEFISHING"
117469,"White shark","Carcharodon carcharias",340,"F","Sub_adult","SPOT",NA,NA,2012-03-23,-34.122756,22.127633,277,-24.3783275,35.4096858,"N",NA,"23","03","2012","OCEARCH","LINEFISHING"
117470,"White shark","Carcharodon carcharias",351,"F","Sub_adult","SPOT",NA,NA,2012-03-08,-34.071103,22.211856,717,-34.06396015,22.22383733,"N",NA,"08","03","2012","OCEARCH","LINEFISHING"
117471,"White shark","Carcharodon carcharias",318,"M","Sub_adult","SPOT",NA,NA,2012-04-12,-34.677333,19.396233,1155,-29.14005438,31.9082379,"N",NA,"12","04","2012","OCEARCH","LINEFISHING"
117472,"White shark","Carcharodon carcharias",371,"F","Sub_adult","SPOT",NA,NA,2012-03-08,-34.071103,22.211856,206,-24.79699165,34.82829674,"Y","Gill net, artisanal, Quissico, Mozambique","08","03","2012","OCEARCH","LINEFISHING"
117473,"White shark","Carcharodon carcharias",297,"F","Juvenile","SPOT",NA,NA,2012-03-21,-34.122756,22.127633,83,-34.56475148,19.2677937,"N",NA,"21","03","2012","OCEARCH","LINEFISHING"
117474,"White shark","Carcharodon carcharias",266,"M","Juvenile","SPOT",NA,NA,2012-03-21,-34.122756,22.127633,738,-25.03875075,33.68029749,"N",NA,"21","03","2012","OCEARCH","LINEFISHING"
117475,"White shark","Carcharodon carcharias",259,"F","Juvenile","SPOT",NA,NA,2012-03-21,-34.122756,22.127633,36,-34.14227146,24.79468701,"N",NA,"21","03","2012","OCEARCH","LINEFISHING"
117476,"White shark","Carcharodon carcharias",297,"M","Juvenile","SPOT",NA,NA,2012-04-12,-34.638367,19.427067,414,-28.62525967,32.31781732,"N",NA,"12","04","2012","OCEARCH","LINEFISHING"
117477,"White shark","Carcharodon carcharias",251,"F","Juvenile","SPOT",NA,NA,2012-03-21,-34.122756,22.127633,205,-34.08454978,22.27268866,"N",NA,"21","03","2012","OCEARCH","LINEFISHING"
117478,"White shark","Carcharodon carcharias",228,"F","Juvenile","SPOT",NA,NA,2012-03-10,-34.071103,22.211856,158,-34.14260635,23.18752891,"N",NA,"10","03","2012","OCEARCH","LINEFISHING"
117479,"White shark","Carcharodon carcharias",265,"F","Juvenile","SPOT",NA,NA,2012-03-16,-33.729694,25.855619,476,-34.61056109,21.70018887,"N",NA,"16","03","2012","OCEARCH","LINEFISHING"
