"SPECIES_SCIENTIFIC","SPECIES_COMMON","DATE OF COLLECTION (DD/MO/YYYY)","TAG .","TL(CM)","PCL (CM)","SEX (M/F)","LOCATION_SPECIFIC","GENERAL GEOGRAPHIC LOCATION","LATITUDE","LONGITUDE","DATATYPE","DAY","MONTH","YEAR"
"PORODERMA AFRICANUM","Pyjama catshark","07 OCTOBER 2010","A0161",56.5,47.3,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","07","10","2010"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2957",146,118,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2958",155,120,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2959",149,123,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"MUSTELUS MUSTELUS","Smooth houndshark","03 MARCH 2011","A2960",147,117,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","03","03","2011"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","20 JANUARY 2014","finclip only",51,40,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","20","01","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2962",168,119,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2963",171,125,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2964",154,113,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"PORODERMA PANTHERINUM","Leopard catshark","16 MAY 2011","A0178",57,46.5,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","16","05","2011"
