Abundance;Sex;Species_scientific;Species_common;Date;Owner;Latitude;Longitude;DATATYPE;YEAR;MONTH;DAY
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/21;Smale;-33.9821;25.69397;LINEFISHING;2006;2;21
1;F;Carcharias taurus;Ragged-tooth shark;2003/01/29;Smale;-33.9821;25.69397;LINEFISHING;2003;1;29
1;F;Carcharias taurus;Ragged-tooth shark;2004/01/07;Smale;-33.9821;25.69397;LINEFISHING;2004;1;7
1;F;Carcharias taurus;Ragged-tooth shark;2004/01/02;Smale;-33.8067;25.7027;LINEFISHING;2004;1;2
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/23;Smale;-33.8067;25.7027;LINEFISHING;2006;2;23
1;F;Carcharias taurus;Ragged-tooth shark;2004/03/17;Smale;-33.9076;25.6247;LINEFISHING;2004;3;17
1;F;Carcharias taurus;Ragged-tooth shark;2004/04/05;Smale;-33.9076;25.6247;LINEFISHING;2004;4;5
1;F;Carcharias taurus;Ragged-tooth shark;2006/03/06;Smale;-33.8067;25.7027;LINEFISHING;2006;3;6
1;F;Carcharias taurus;Ragged-tooth shark;2004/01/02;Smale;-33.8067;25.7027;LINEFISHING;2004;1;2
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/23;Smale;-33.8067;25.7027;LINEFISHING;2006;2;23
1;F;Carcharias taurus;Ragged-tooth shark;2004/01/02;Smale;-33.8067;25.7027;LINEFISHING;2004;1;2
1;F;Carcharias taurus;Ragged-tooth shark;2006/03/04;Smale;-33.8067;25.7027;LINEFISHING;2006;3;4
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/23;Smale;-33.8067;25.7027;LINEFISHING;2006;2;23
1;F;Carcharias taurus;Ragged-tooth shark;2004/03/17;Smale;-33.9076;25.6247;LINEFISHING;2004;3;17
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/27;Smale;-33.8067;25.7027;LINEFISHING;2006;2;27
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/23;Smale;-33.8067;25.7027;LINEFISHING;2006;2;23
1;F;Carcharias taurus;Ragged-tooth shark;2006/03/04;Smale;-33.8067;25.7027;LINEFISHING;2006;3;4
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/27;Smale;-33.8067;25.7027;LINEFISHING;2006;2;27
1;F;Carcharias taurus;Ragged-tooth shark;2006/03/04;Smale;-33.8067;25.7027;LINEFISHING;2006;3;4
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/27;Smale;-33.8067;25.7027;LINEFISHING;2006;2;27
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/27;Smale;-33.8067;25.7027;LINEFISHING;2006;2;27
1;F;Carcharias taurus;Ragged-tooth shark;2006/02/27;Smale;-33.8067;25.7027;LINEFISHING;2006;2;27
1;M;Carcharias taurus;Ragged-tooth shark;2006/02/21;Smale;-33.9821;25.69397;LINEFISHING;2006;2;21
1;M;Carcharias taurus;Ragged-tooth shark;2004/04/05;Smale;-33.604;26.924;LINEFISHING;2004;4;5
1;M;Carcharias taurus;Ragged-tooth shark;2006/03/23;Smale;-33.9821;25.69397;LINEFISHING;2006;3;23
1;M;Carcharias taurus;Ragged-tooth shark;2004/04/05;Smale;-33.604;26.924;LINEFISHING;2004;4;5
1;M;Carcharias taurus;Ragged-tooth shark;2004/01/07;Smale;-33.9821;25.69397;LINEFISHING;2004;1;7
1;M;Carcharias taurus;Ragged-tooth shark;2004/03/12;Smale;-33.9821;25.69397;LINEFISHING;2004;3;12
1;M;Carcharias taurus;Ragged-tooth shark;2004/01/07;Smale;-33.9821;25.69397;LINEFISHING;2004;1;7
1;M;Carcharias taurus;Ragged-tooth shark;2004/04/17;Smale;-33.9076;25.6247;LINEFISHING;2004;4;17
1;M;Carcharias taurus;Ragged-tooth shark;2004/04/05;Smale;-33.604;26.924;LINEFISHING;2004;4;5
1;M;Carcharias taurus;Ragged-tooth shark;2004/01/02;Smale;-33.8067;25.7027;LINEFISHING;2004;1;2
1;M;Carcharias taurus;Ragged-tooth shark;2003/12/19;Smale;-33.9076;25.6247;LINEFISHING;2003;12;19
1;M;Carcharias taurus;Ragged-tooth shark;2004/03/17;Smale;-33.9076;25.6247;LINEFISHING;2004;3;17
1;M;Carcharias taurus;Ragged-tooth shark;2006/03/06;Smale;-33.8067;25.7027;LINEFISHING;2006;3;6
1;M;Carcharias taurus;Ragged-tooth shark;2006/02/23;Smale;-33.8067;25.7027;LINEFISHING;2006;2;23
