"FULL_NAME","ANIMAL_ID","CAPDATE","SPECIES","SPECIES_COMMON","SPECIES_SCIENTIFIC","SEX","FLEN","CATCH_COND","CATCH CONDITION","FATE CODE","FATE","NET","DAY","MONTH","YEAR","BEACH","CODE","LATITUDE","LONGITUDE","...9","...11","OWNER","DATATYPE"
"KENT BAY (SYS)","S_SYS16006",2016-07-29,"S_BLA","BLACKTIP SHARK","CARCHARHINUS LIMBATUS","M",1680,"2","DEAD BUT FRESH","3","SENT TO HQ","01","29","07","2016","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15010",2015-09-22,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","F",1550,"2","DEAD BUT FRESH","3","SENT TO HQ","01","22","09","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15009",2015-09-22,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1600,"2","DEAD BUT FRESH","3","SENT TO HQ","01","22","09","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15007",2015-07-29,"S_GRE","GREAT WHITE","CARCHARODON CARCHARIAS","M",2010,"2","DEAD BUT FRESH","3","SENT TO HQ","01","29","07","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS16007",2016-10-20,"S_GRE","GREAT WHITE","CARCHARODON CARCHARIAS","M",2590,"2","DEAD BUT FRESH","3","SENT TO HQ","01","20","10","2016","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15002",2015-02-04,"S_SCA","SCALLOPED HAMMERHEAD","SPHYRNA LEWINI","M",1110,"2","DEAD BUT FRESH","3","SENT TO HQ","01","04","02","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15001",2015-01-05,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","M",910,"2","DEAD BUT FRESH","3","SENT TO HQ","01","05","01","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15008",2015-09-18,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","M",880,"2","DEAD BUT FRESH","3","SENT TO HQ","01","18","09","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS16004",2016-04-08,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","F",1030,"2","DEAD BUT FRESH","3","SENT TO HQ","01","08","04","2016","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS17001",2017-03-20,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","M",1130,"2","DEAD BUT FRESH","3","SENT TO HQ","1","20","03","2017","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS18002",2018-12-05,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","F",900,"2","DEAD BUT FRESH","3","SENT TO HQ","01","05","12","2018","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS18001",2018-02-26,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","M",1770,"2","DEAD BUT FRESH","3","SENT TO HQ","01","26","02","2018","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS19001",2019-03-27,"S_SPN","SPINNER SHARK","CARCHARHINUS BREVIPINNA","F",2010,"2","DEAD BUT FRESH","3","SENT TO HQ","01","27","03","2019","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS16001",2016-03-22,"S_SMO","SMOOTH HAMMERHEAD","SPHYRNA ZYGAENA","F",1030,"4","ROTTEN","5","NO DATA/DUMPED","01","22","03","2016","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","S_SYS15011",2015-11-24,"S_UNK","SPECIES UNKNOWN","N/A","U",NA,"4","ROTTEN","5","NO DATA/DUMPED","04","24","11","2015","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"KENT BAY (SYS)","H_SYS18002",2018-05-16,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","F",790,"6","SCAVENGED REMAINS","5","NO DATA/DUMPED","01","16","05","2018","SYS",37,-30.94699444,30.30580833,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","H_M.G17006",2017-05-23,"H_ANG","AFR. ANGELSHARK","SQUATINA AFRICANA","F",550,"1","ALIVE","1","TAGGED & RELEASED","3","23","05","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G17003",2017-05-19,"S_COP","COPPER SHARK","CARCHARHINUS BRACHYURUS","M",1700,"1","ALIVE","1","TAGGED & RELEASED","1","19","05","2017","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
"MARGATE","S_M.G15022",2015-06-04,"S_DUS","DUSKY SHARK","CARCHARHINUS OBSCURUS","M",1660,"1","ALIVE","1","TAGGED & RELEASED","02","04","06","2015","M.G",34,-30.86177778,30.37898333,NA,NA,"KZNSB","NETS_DRUMLINES"
