"DATE","LOCATION","ZONE...3","ZONE...4","TIME IN","TIME OUT","TOTAL SURVEY TIME","SPOT TIME","LATITUDE","LONGITUDE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","OTHER SPECIES OF NOTE","SEX","TAGGED","NOTES","PICTURE","VIDEO","ADDITIONALNOTES","SHARKLIFE","DATA ENTRY BY:","CREW MEMBERS","DAY","MONTH","YEAR","OWNER"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.57638888888888895",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","U",NA,"G0019086-88","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.59652777777777777",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","U",NA,"G0019780-91","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.59652777777777777",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","U","kinked tail in two places","G0019791-95","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.60138888888888886",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"U","U",NA,"G0019364","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.61041666666666672",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","U","part of group of 4","G0020340-52","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.61041666666666672",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"U","U","part of group of 4","G0020340-53","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.61041666666666672",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","U","part of group of 4","G0020346-57","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.61041666666666672",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","U","part of group of 4, left pelvic fin split in two","G0020347-58","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.64444444444444449",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"U","U",NA,"G0025896-8","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.64444444444444449",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"U","U",NA,"G0025896-9","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.68055555555555547",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"F","N",NA,"G0027837-9","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.70347222222222217",-27.534618,32.683308,"RUV","OCELLATED EAGLE RAY","AETOBATUS OCELLATUS",NA,"U","U",NA,"G0028549-51","-","spot time currently the created time stamp, need actual time","-",NA,"-",29,12,2019,"SHARKLIFE"
"29.12.2019","QUARTER MILE","IOCPLZN","Shallow",NA,NA,NA,"0.65",-27.534618,32.683308,"RUV","BLACKTIP SHARK","CARCHARHINUS LIMBATUS",NA,"F","N",NA,"G0026479-80","-","0","-",NA,"-",29,12,2019,"SHARKLIFE"
"22.10.2021","RAGGIE REEF","IOWZ","Shallow",NA,NA,NA,"0.68819444444444444",-27.91505,32.59825,"RUV","OCELLATED EGALE RAY","AETOBATUS OCELLATUS",NA,NA,NA,NA,"G0011029",NA,NA,NA,NA,NA,22,10,2021,"SHARKLIFE"
"25.10.2020","RAGGIE REEF","IOWZ","Shallow",NA,NA,NA,"0.27847222222222223",-27.91505,32.59825,"RUV","COMMON BLACKTIP","CARCHARHINUS LIMBATUS",NA,NA,NA,NA,"G0018489",NA,NA,NA,NA,NA,25,10,2020,"SHARKLIFE"
"27.10.2020","RAGGIE REEF","IOWZ","Shallow",NA,NA,NA,"0.43611111111111112",-27.91505,32.59825,"RUV","COMMON BLACKTIP","CARCHARHINUS LIMBATUS",NA,NA,NA,NA,"G0014684",NA,NA,NA,NA,NA,27,10,2020,"SHARKLIFE"
"27.10.2020","RAGGIE REEF","IOWZ","Shallow",NA,NA,NA,"0.43611111111111112",-27.91505,32.59825,"RUV","COMMON BLACKTIP","CARCHARHINUS LIMBATUS",NA,NA,NA,NA,"G0014684",NA,NA,NA,NA,NA,27,10,2020,"SHARKLIFE"
