"STATION...1","DATE","STATION...3","SPECIES_SCIENTIFIC","SEX","WEIGHT (G)","LENGTH (CM)","LATITUDE","LONGITUDE","DAY","MONTH","YEAR","DATATYPE","OWNER"
"D00128",2017-02-14,"D00128","Galeorhinus galeus","Male",1200,137,-34.8338333333333,18.7835,"14","02","2017","TRAWL","DFFE"
"D00128",2017-02-14,"D00128","Holohalaelurus regani","Male",536.6,56,-34.8338333333333,18.7835,"14","02","2017","TRAWL","DFFE"
"D00128",2017-02-14,"D00128","Holohalaelurus regani","Female",193.6,41,-34.8338333333333,18.7835,"14","02","2017","TRAWL","DFFE"
"D00128",2017-02-14,"D00128","Holohalaelurus regani","Female",173.4,40.5,-34.8338333333333,18.7835,"14","02","2017","TRAWL","DFFE"
"D00131",2017-02-14,"D00131","Holohalaelurus regani","Female",289.7,46,-35.0683333333333,19.603,"14","02","2017","TRAWL","DFFE"
"D00131",2017-02-14,"D00131","Holohalaelurus regani","Female",245.5,41,-35.0683333333333,19.603,"14","02","2017","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Holohalaelurus regani","Male",620,58,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Holohalaelurus regani","Male",601,59,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Holohalaelurus regani","Male",474,53.5,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Holohalaelurus regani","Female",229,40,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Holohalaelurus regani","Female",240,42,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Scyliorhinus capensis","Male",2328,83,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Scyliorhinus capensis","Male",518,55,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Scyliorhinus capensis","Male",612,58,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Scyliorhinus capensis","Female",488,55,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00132",2018-02-14,"D00132","Squalus mitsukurii","Male",1471,68,-36.3251666666667,20.0045,"14","02","2018","TRAWL","DFFE"
"D00133",2018-02-14,"D00133","Holohalaelurus regani","Male",772,62,-36.2306666666667,19.9143333333333,"14","02","2018","TRAWL","DFFE"
