"DATE LAST MODIFIED","RECORD URL","SPECIES_SCIENTIFIC","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","YEAR IDENTIFIED","MONTH IDENTIFIED","DAY IDENTIFIED","YEAR","MONTH","DAY","TIME OF DAY","LOCALITY","LONGITUDE","LATITUDE","SEX","NOTES","LENGTH (M)","MARKED INDIVIDUAL","LOCATIONID","SUBMITTER EMAIL ADDRESS","OWNER","DATATYPE"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=266bbc1f-91ef-4c5b-b111-9c7edca37ed0","PORODERMA AFRICANUM","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Poroderma","africanum","2020","12","27","2020","12","27","11:18","LONG BEACH","18.427472543044228","-34.187980722031014",NA,NA,NA,"PA_027","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=3036ec8e-5d58-407d-9d85-cefa8d6d6a75","PORODERMA AFRICANUM","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Poroderma","africanum","2020","12","27","2020","12","27","11:19","LONG BEACH","18.4274305307312","-34.18793382066625",NA,NA,NA,"PA_025","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=396b84e7-35a6-4181-b24a-9a814a844d9b","HAPLOBLEPHARUS EDWARDSII","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","edwardsii","2020","12","27","2020","12","27","11:3","LONG BEACH","18.427187503442546","-34.18793777994211",NA,NA,NA,"HE_062","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=7464e7d1-8f97-41bd-8c6d-ce32de800797","PORODERMA PANTHERINUM","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Poroderma","pantherinum","2020","12","27","2020","12","27","11:8","LONG BEACH","18.427218377991863","-34.18798928930151",NA,NA,NA,"PP_008","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=8bfedfba-7045-4518-88d4-eaef052ea358","HAPLOBLEPHARUS PICTUS","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","pictus","2020","12","27","2020","12","27","11:41","LONG BEACH","18.427911230896992","-34.18790722774241",NA,NA,NA,"HP_048","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=9e1ff4f0-fca3-4212-ab2b-4108393b7f5e","HAPLOBLEPHARUS PICTUS","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","pictus","2020","12","27","2020","12","27","11:6","LONG BEACH","18.427279831924608","-34.1879720404836",NA,NA,NA,"HP_049","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=a567922b-9abc-494a-a57b-e280740081f6","HAPLOBLEPHARUS PICTUS","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","pictus","2020","12","27","2020","12","27","11:23","LONG BEACH","18.42734811555112","-34.18804571155299",NA,NA,NA,"HP_050","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=f11b0fc1-45a3-4ec5-9765-e286d5653600","HAPLOBLEPHARUS PICTUS","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","pictus","2020","12","27","2020","12","27","11:14","LONG BEACH","18.427283919283738","-34.18795283620331","male",NA,NA,"HP_049","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-28","http://fin.caperadd.com/encounters/encounter.jsp?number=39bdbee9-340a-478c-9521-3a198b69d04a","HAPLOBLEPHARUS EDWARDSII","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","edwardsii","2020","12","24","2020","12","24","8:53","LONG BEACH","18.42833694265276","-34.186485301824796",NA,NA,NA,"HE_095","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-24","http://fin.caperadd.com/encounters/encounter.jsp?number=1c16a049-4600-42b7-b3a7-db8c0946a083","PORODERMA AFRICANUM","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Poroderma","africanum","2020","12","23","2020","12","23","11:14","LONG BEACH","18.427431861301933","-34.18796091990301",NA,NA,NA,"PA_025","LONG BEACH",NA,"CAPERADD","UVC"
"2020-12-24","http://fin.caperadd.com/encounters/encounter.jsp?number=2c30bdb3-2433-4d18-9dfb-0b1f402b7585","HAPLOBLEPHARUS PICTUS","ANIMALIA","CHORDATA","CHONDRICHTHYES","CARCHARHINIFORMES","SCYLIOORHINIDAE","Haploblepharus","pictus","2020","12","23","2020","12","23","11:3","LONG BEACH","18.427208387354426","-34.187924008141536",NA,NA,NA,"HP_045","LONG BEACH",NA,"CAPERADD","UVC"
