"CODE","YEAR","MONTH","DAY","DUMMY","DATE","DIVELOCATION","BROAD LOCATION","DAYS","NO OF DIVES","VIZ","CURRENT","WIND","WEATHER","TEMP","SEA COND.","DIVER NUMBERS","REBREATHER","COUNT","LATITUDE","LONGITUDE","SPECIES_COMMON","ABUNDANCE","SPECIES_SCIENTIFIC","DATASET","OWNER"
"D0001",2003,3,19,NA,"03/19","SOUTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,NA,"rough",NA,NA,91,-30.8434,30.4771,"SHH",10,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0001",2003,3,19,NA,"03/19","SOUTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,NA,"rough",NA,NA,91,-30.8434,30.4771,"SANDSHARK",12,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0002",2003,3,20,NA,"03/20","SOUTH","Protea_pinnacles",1,1,"25m",NA,"S/W",NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SHH",2,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0002",2003,3,20,NA,"03/20","SOUTH","Protea_pinnacles",1,1,"25m",NA,"S/W",NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0002",2003,3,20,NA,"03/20","SOUTH","Protea_pinnacles",1,1,"25m",NA,"S/W",NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SANDSHARK",21,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0003",2003,3,21,NA,"03/21","SOUTH","Protea_pinnacles",1,1,"25m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0004",2003,3,22,NA,"03/22","SOUTH","Protea_pinnacles",1,1,"12m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SHH",1,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0004",2003,3,22,NA,"03/22","SOUTH","Protea_pinnacles",1,1,"12m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0004",2003,3,22,NA,"03/22","SOUTH","Protea_pinnacles",1,1,"12m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SANDSHARK",1,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0007",2003,3,27,NA,"03/27","NORTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"SHH",1,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0007",2003,3,27,NA,"03/27","NORTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"SANDSHARK",2,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0009",2003,3,29,NA,"03/29","NORTH","Protea_pinnacles",1,1,"15m",NA,NA,NA,NA,NA,NA,NA,106,-30.8249,30.4884,"TIGER",1,"GALEOCERDO CUVIER","UVC-S","ROLAND"
"D0013",2003,4,1,NA,"04/01","SOUTH","Protea_pinnacles",1,1,"12m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0013",2003,4,1,NA,"04/01","SOUTH","Protea_pinnacles",1,1,"12m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SANDSHARK",3,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0014",2003,4,2,NA,"04/02","SOUTH","Protea_pinnacles",1,1,"15m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SHH",40,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0014",2003,4,2,NA,"04/02","SOUTH","Protea_pinnacles",1,1,"15m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",6,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0015",2003,4,3,NA,"04/03","SOUTH","Protea_pinnacles",1,1,"7m",NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",3,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0016",2003,4,17,NA,"04/17","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,"10",NA,91,-30.8434,30.4771,"SHH",25,"SPHYRNA LEWINI","UVC-S","ROLAND"
"D0016",2003,4,17,NA,"04/17","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,"10",NA,91,-30.8434,30.4771,"SANDSHARK",60,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0017",2003,4,17,NA,"04/17","SOUTH","Protea_pinnacles",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",2,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0017",2003,4,17,NA,"04/17","SOUTH","Protea_pinnacles",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"SANDSHARK",20,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0018",2003,4,18,NA,"04/18","SOUTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,NA,NA,"9",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",1,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0018",2003,4,18,NA,"04/18","SOUTH","Protea_pinnacles",1,1,"20m",NA,NA,NA,NA,NA,"9",NA,91,-30.8434,30.4771,"SANDSHARK",1,"RYNCHOBATUS DJIDDENSIS","UVC-S","ROLAND"
"D0020",2003,4,19,NA,"04/19","SOUTH","Protea_pinnacles",1,1,"12m",NA,NA,NA,NA,NA,"2",NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",8,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
"D0021",2003,4,20,NA,"04/20","SOUTH","Protea_pinnacles",1,1,NA,NA,NA,NA,NA,NA,NA,NA,91,-30.8434,30.4771,"ZAMBEZI / BULL",10,"CARCHARHINUS LEUCAS","UVC-S","ROLAND"
