"DIVEID","LOCATION","SITENAME","LATITUDE","LONGITUDE","DATE","DEPTH","TEMP","SPECIES_COMMON","ABUNDANCE","SPECIES_SCIENTIFIC","DAY","MONTH","YEAR","OWNER","DATATYPE"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"CATSHARK",0,NA,"13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"COWSHARK",0,"NOTORYNCHOS CEPEDIANUS","13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"DARKSHYSHARK",0,"HAPLOBLEPHARUS PICTUS","13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"LEOPARDCATSHARK",0,"PORODERMA PANTHERINUM","13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"PAJAMA SHARK",0,"PORODERMA AFRICANUM","13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"PUFFADDERSHYSHARK",0,"HAPLOBLEPHARUS EDWARDSII","13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"SHORT-TAILED STINGRAY",0,"BATHYTOSHIA BREVICAUDATA","13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"SHYSHARK",0,NA,"13","02","2020","SANPARKS","UVC-S"
"16","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",6,19,"SPOTTEDGULLEYSHARK",0,"TRIAKIS MEGALOPTERUS","13","02","2020","SANPARKS","UVC-S"
"17","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",3.7,19,"CATSHARK",0,NA,"13","02","2020","SANPARKS","UVC-S"
"17","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",3.7,19,"COWSHARK",0,"NOTORYNCHOS CEPEDIANUS","13","02","2020","SANPARKS","UVC-S"
"17","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",3.7,19,"DARKSHYSHARK",0,"HAPLOBLEPHARUS PICTUS","13","02","2020","SANPARKS","UVC-S"
"17","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",3.7,19,"LEOPARDCATSHARK",0,"PORODERMA PANTHERINUM","13","02","2020","SANPARKS","UVC-S"
"17","FB","Kalk Bay reef",-34.12533333,18.4531,"13/02/2020",3.7,19,"PAJAMA SHARK",0,"PORODERMA AFRICANUM","13","02","2020","SANPARKS","UVC-S"
