"DATE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","SEX (M/F)","MALE MATURITY (1-3)","TL (CM)","PCL (CM)","IDL (CM)","LATITUDE","LONGITUDE","...12","DAY","MONTH","YEAR"
2010-09-07,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","1","54","44.5","7.6","-34.420833","19.244536",NA,"07","09","2010"
2010-09-07,"UVC","Puffadder shyshark","Haploblepharus edwardsii","m","2","56","45.5","7.7","-34.420833","19.244536",NA,"07","09","2010"
2010-09-07,"UVC","Leopard catshark","Poroderma pantherinum","F",NA,"56","47.3","4.5999999999999996","-34.420833","19.244536",NA,"07","09","2010"
2010-10-11,"UVC","Puffadder shyshark","Haploblepharus edwardsii","F",NA,"62","53","8.5","-34.420833","19.244536",NA,"11","10","2010"
2010-10-11,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","3","68","55.6","8","-34.420833","19.244536",NA,"11","10","2010"
2010-10-12,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","3","59","47.7","9","-34.420833","19.244536",NA,"12","10","2010"
2010-10-12,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","2","59","48.5","7.6","-34.420833","19.244536",NA,"12","10","2010"
2010-10-12,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"62","50.5","8","-34.420833","19.244536",NA,"12","10","2010"
2011-01-16,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"61","50.5","8.5","-34.420833","19.244536",NA,"16","01","2011"
2011-03-01,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","3","61","48.5","8.6999999999999993","-34.420833","19.244536",NA,"01","03","2011"
2011-03-01,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","1","56","45.2","7.5","-34.420833","19.244536",NA,"01","03","2011"
2011-03-01,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M","1","60","48.2","8.1999999999999993","-34.420833","19.244536",NA,"01","03","2011"
2011-05-16,"UVC","Pyjama catshark","Poroderma africanum","M","3","116","97","8","-34.420833","19.244536",NA,"16","05","2011"
2011-05-16,"UVC","Leopard catshark","Poroderma pantherinum","F",NA,"57","46.5","5.2","-34.420833","19.244536",NA,"16","05","2011"
2011-05-16,"UVC","Puffadder shyshark","Haploblepharus edwardsii","F",NA,"58","47.5","7.5","-34.420833","19.244536",NA,"16","05","2011"
2011-06-03,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"56","45.7","8","-34.420833","19.244536",NA,"03","06","2011"
2011-07-06,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"65","51.8","8.9","-34.420833","19.244536",NA,"06","07","2011"
2011-07-07,"UVC","Leopard catshark","Poroderma pantherinum","M",NA,"74","59","5.2","-34.420833","19.244536",NA,"07","07","2011"
2011-11-28,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"63","51.9","9","-34.420833","19.244536",NA,"28","11","2011"
2011-12-02,"UVC","Leopard catshark","Poroderma pantherinum","F",NA,"47","39","3.6","-34.420833","19.244536",NA,"02","12","2011"
2011-12-02,"UVC","Leopard catshark","Poroderma pantherinum","F",NA,"54","45","4.7","-34.420833","19.244536",NA,"02","12","2011"
2011-12-02,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"57","46","7.5","-34.420833","19.244536",NA,"02","12","2011"
2012-03-01,"UVC","Puffadder shyshark","Haploblepharus edwardsii","F",NA,"49","41","7","-34.420833","19.244536",NA,"01","03","2012"
2012-08-16,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"54","42.4","7","-34.420833","19.244536",NA,"16","08","2012"
2013-02-20,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"59","47",NA,"-34.420833","19.244536",NA,"20","02","2013"
2013-03-06,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"55","44","8.5","-34.420833","19.244536",NA,"06","03","2013"
2013-08-28,"UVC","Dark Shyshark","Haploblepharus pictus","F",NA,"50","40.5",NA,"-34.420833","19.244536",NA,"28","08","2013"
2013-08-28,"UVC","Leopard catshark","Poroderma pantherinum","F",NA,"62","49.7","4.3","-34.420833","19.244536",NA,"28","08","2013"
2013-08-28,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"61","49","7.1","-34.420833","19.244536",NA,"28","08","2013"
2013-08-28,"UVC","Dark Shyshark","Haploblepharus pictus","M","3","52","51.2","7.9","-34.420833","19.244536",NA,"28","08","2013"
2013-08-28,"UVC","Puffadder shyshark","Haploblepharus edwardsii","M",NA,"61","49","6.7","-34.420833","19.244536",NA,"28","08","2013"
