COMMON NAME,FAMILY,ENDEMIC,SIZE RANGE,SA DISTRIBUTION,HABITAT,DEPTH RANGE,MAJOR FISHERIES,IUCN STATUS,CITES,MLRA,COMPILER,REVIEWER,REPRODUCTIVE MODE,DURATION OF REPRO CYCLE,MATING SEASON,GESTATION,LITTER SIZE,PUPPING/NURSERY GROUND,LENGTH AT BIRTH,LENGTH AT MATURITY,AGE AT MATURITY,MAXIMUM LENGTH,GENERATION LENGTH,GENUS,SPECIES,SPECIES_SCIENTIFIC
"Broadnose sevengill shark, cow shark",Hexanchidae,"No, widespread in coastal temperate waters",35–300 cm TL,"E, S, W coasts: Great Kei River mouth to Orange River mouth","Shallow coastal waters, including bays and kelp beds","0–360 m, but most abundant 0–50 m",Commercial linefishery; demersal shark longline fishery; recreational linefishery,Vulnerable 2015,Not listed,Daily bag limit of one per person in recreational fishery; no targeting in demersal shark longline fishery,G Cliff,A Kock,Lecithotrophic viviparity,24 months,Late spring and summer,1 year,Unknown locally; 82 pups: California,Unknown in SA; spring-summer in California,Unknown in SA: 35–45 cm California,F: ±200 cm; M: 150-180 cm,NA,300 cm,"21.5 years, based on captive animals in California",Notorynchus,cepedianus,Notorynchus cepedianus
Bramble shark,Echinorhinidae,No,30–395 cm TL,"E, S and W coasts: Mozambique border to Orange River mouth","Demersal on continental shelf and slope, sometimes inshore","Usually 200–900 m, occasionally shallower than 20 m",Nothing listed,Endangered 2019,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Lecithotrophic viviparity,Unknown,Unknown,Unknown,14; 15–26 outside South Africa,Unknown,40–50 cm (outside South Africa),"F: 200–220 cm, M: <150 cm (outside South Africa)",NA,305–310 cm (outside South Africa),16 years (India),Echinorhinus,brucus,Echinorhinus brucus
Piked dogfish/Spiny dogfish/Spotty spiny dogfish,Squalidae,"No, widely distributed elsewhere",<31->91 cm TL; larger in other regions,W coast: Port Nolloth to Cape Point; possibly S and E coasts to Port Alfred,Rock and sand bottoms of outer shelf and upper slope,150–400 m in South Africa; down to 1950 m elsewhere,Demersal trawl fishery; small catch in commercial line fishery and demersal shark longline fishery,Vulnerable 2016,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Lecithotrophic viviparity,Unknown in SA; about 2 years elsewhere,Unknown in SA; winter elsewhere,Unknown in SA; 18-25 months elsewhere,At least 3-4 in SA; 1-32 elsewhere,"Unknown, no seasonal pattern",>22 and < 31 cm in SA,F: 60 cm; M: 48-50 cm in SA,NA,"Atleast 91 cm in SA; 160-200 cm, elsewhere but most are smaller than 100 cm",17 years (NW Atlantic),Squalus,acanthias,Squalus acanthias
Lowfin gulper shark,Centrophoridae,"No, present in Mozambique and Madagascar",35–176 cm TL,"E, S, W coasts: entire South African coast",Demersal on continental slopes,100–1500 m,"Offshore hake trawl fishery; all catches lumped as unidentified dogfish
Squalus spp",Endangered 2019,Not listed,production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Lecithotrophic viviparity,Unknown,Unknown,Unknown,1–8,Unknown,35–47 cm (outside South Africa),F: 140–150 cm; M: 105–118 cm (outside South African waters),NA,"F: 176 cm; M: 124 cm (outside South African
waters)",27.75 (NE Atlantic),Centrophorus,granulosus,Centrophorus granulosus
Smallfin gulper shark,Centrophoridae,"No, present in Mozambique",35–100 cm TL,E coast: Mozambique border to Durban,Demersal on continental slopes,125–820 m,Deep water trawl fishery; all catches lumped as Squalus spp,Vulnerable 2019,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Lecithotrophic viviparity,2 years,Unknown,Unknown,2 (locally and elsewhere),Unknown,33–37 cm,F: 85–90 cm; M: 70–90 cm (outside South African waters),NA,100 cm (outside South African waters),29.5 years inferred from C. harrissoni,Centrophorus,moluccensis,Centrophorus moluccensis
Leafscale gulper shark,Centrophoridae,No,35–160 cm TL,"E, S, W coasts: entire South African coast",Demersal on continental slopes,400–750 m,Offshore hake trawl,Endangered 2019,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Viviparity with a yolk-sac placenta,Unknown,Unknown,Unknown,5–11 (outside South African waters),Unknown,35 to 43 cm (Australasia),F: 125 cm; M: 100 cm (outside South African waters),NA,160 cm (Indonesia),52.5 years (NE Atlantic); 31.4 years (SW Pacific),Centrophorus,squamosus,Centrophorus squamosus
Little gulper shark,Centrophoridae,"No, present in Mozambique and Namibia",35–128 cm TL,W coast and possibly S and E coasts,Demersal on continental slopes,"50–1400 m, usually 400–800 m",Deep water trawl fishery; all catches lumped as unidentified dogfish,Endangered 2019,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,DA Ebert,Lecithotrophic viviparity,Unknown,Unknown,Unknown,1 (Australia),Unknown,About 35 cm (outside South Africa),F: 85–90 cm; M: 70–90 cm (outside South African Waters),NA,128 cm (outside South African waters),60 years,Centrophorus,uyato,Centrophorus uyato
Longsnout dogfish,Centrophoridae,"No, present in Mozambique and Namibia",25–118 cm TL,W coast and possibly S and E coasts,Demersal on continental slopes,"150–1360 m, usually >400 m",Deep water trawl fishery; all catches lumped as unidentified dogfish,Vulnerable 2019,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Lecithotrophic viviparity,Unknown but aseasonal (Australia),Unknown,Unknown,8–18 (Australia),Unknown,25 cm (Australia),F: 94 cm; M: 80 cm (Australia),NA,118 cm (outside South African waters),37 years (inferred from Deania calcea),Deania,quadrispinosa,Deania quadrispinosa
Roughskin dogfish,Somniosidae,"No, found in Namibia",27–120 cm TL,S coast: only Mossel Bay but likely to be more wide-ranging,Demersal on soft bottoms of outer shelf and upper slope,150–1500 m,Demersal trawl fishery,Vulnerable 2017,Not listed,Production of squalene onboard vessels prohibited in offshore trawl fishery; daily bag limit of one individual in recreational fishery,C da Silva,G Cliff,Viviparity with a yolk-sac placenta,Unknown,Unknown,Unknown,5-34 pups (New Zealand),Unknown,27–30 cm,F 104; M 84 cm,NA,120 cm,30 years,Centroscymnus,owstonii,Centroscymnus owstonii
Angular roughshark,Oxynotidae,"No, much of African west coast including Mediterranean",20–150 cm TL,W coast: single record off Cape Point,Demersal on shelf and slope,35–800 m,"None, but possibly demersal trawl",Endangered 2020,Not listed,Daily bag limit of one individual in recreational fishery,G Cliff,C da Silva,Viviparity with yolk-sac placenta,Annual (Mediterranean),Unknown,Unknown,10–12 (Mediterranean),April–September (Mediterranean),21–24 cm (Mediterranean),F: 65 cm; M: 60 cm (Mediterranean),NA,"150 cm, rarely over 100 cm",20 years,Oxynotus,centrina,Oxynotus centrina
