"speciesrange","area_km2","perc_in_area","range_in_area","CUR_NME","SPECIES_SCIENTIFIC","type"
24400,1126.75324,0.035531180968714,866.960815636622,"Addo Elephant National Park Marine Protected Area","ACROTERIOBATUS ANNULATUS","iucn"
200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ACROTERIOBATUS BLOCHII","iucn"
7500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ACROTERIOBATUS LEUCOSPILUS","iucn"
46900,1126.75324,0.000568706209498565,26.6723212254827,"Addo Elephant National Park Marine Protected Area","ACROTERIOBATUS OCELLATUS","iucn"
105000,1126.75324,0.00861973051204245,905.071703764457,"Addo Elephant National Park Marine Protected Area","AETOBATUS OCELLATUS","iucn"
89900,1126.75324,0.00979165740071876,880.270000324617,"Addo Elephant National Park Marine Protected Area","AETOMYLAEUS BOVINUS","iucn"
337400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ALOPIAS PELAGICUS","iucn"
1041600,1126.75324,0.000868924446778473,905.071703764457,"Addo Elephant National Park Marine Protected Area","ALOPIAS SUPERCILIOSUS","iucn"
983500,1126.75324,0.000920255926552575,905.071703764457,"Addo Elephant National Park Marine Protected Area","ALOPIAS VULPINUS","iucn"
207900,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","AMBLYRAJA HYPERBOREA","iucn"
4300,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","AMBLYRAJA ROBERTSI","iucn"
1500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","ANACANTHOBATIS MARMORATA","iucn"
50500,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","APRISTURUS MICROPS","iucn"
39200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","APRISTURUS SALDANHA","iucn"
55800,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","BATHYRAJA SMITHII","iucn"
122700,1126.75324,0.00827634462074206,1015.50748496505,"Addo Elephant National Park Marine Protected Area","BATHYTOSHIA BREVICAUDATA","iucn"
230400,1126.75324,0.00429993828786984,990.70578152521,"Addo Elephant National Park Marine Protected Area","BATHYTOSHIA LATA","iucn"
173400,1126.75324,0.00507652826023424,880.270000324617,"Addo Elephant National Park Marine Protected Area","CALLORHINCHUS CAPENSIS","iucn"
10600,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS ALBIMARGINATUS","iucn"
21200,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS ALTIMUS","iucn"
3400,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS AMBOINENSIS","iucn"
85800,1126.75324,0.0102595571133405,880.270000324617,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS BRACHYURUS","iucn"
98000,1126.75324,0.00898234694208792,880.270000324617,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS BREVIPINNA","iucn"
152100,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS FALCIFORMIS","iucn"
2700,1126.75324,0,0,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS HUMANI","iucn"
76000,1126.75324,0.0130356023884896,990.70578152521,"Addo Elephant National Park Marine Protected Area","CARCHARHINUS LEUCAS","iucn"
